motherhasjob,extracurriculars,job,studytime,age,fatherhasjob,familyincome,extraclasses,familysupport,college,scholarship,GRADE
no,yes,no,2_to_5hr,15.0,yes,above_avg,no,yes,no,no,C
no,yes,no,less_than_2hr,17.0,yes,below_avg,no,no,no,no,F
no,yes,no,2_to_5hr,16.0,yes,above_avg,yes,yes,yes,yes,B
no,no,yes,5_to_10hr,18.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,less_than_2hr,14.0,yes,above_avg,yes,yes,no,no,C
no,yes,no,less_than_2hr,18.0,yes,below_avg,no,no,no,no,F
yes,no,no,2_to_5hr,18.0,yes,below_avg,no,no,yes,no,F
no,yes,no,2_to_5hr,18.0,yes,above_avg,yes,yes,yes,yes,B
no,yes,no,2_to_5hr,17.0,no,below_avg,no,no,no,no,F
yes,yes,no,less_than_2hr,18.0,yes,above_avg,yes,yes,no,no,C
no,no,yes,less_than_2hr,18.0,no,above_avg,yes,yes,no,no,C
yes,no,yes,5_to_10hr,14.0,no,below_avg,no,no,yes,yes,B
no,yes,no,less_than_2hr,15.0,yes,above_avg,no,yes,no,no,C
no,yes,no,less_than_2hr,17.0,yes,above_avg,yes,yes,no,no,C
no,no,yes,5_to_10hr,18.0,yes,above_avg,yes,yes,yes,yes,A
no,no,yes,5_to_10hr,14.0,yes,above_avg,yes,yes,yes,yes,A
yes,no,yes,greater_than_10,15.0,no,below_avg,no,no,yes,yes,B
no,yes,no,2_to_5hr,18.0,yes,above_avg,yes,yes,yes,yes,B
yes,yes,no,less_than_2hr,15.0,yes,below_avg,no,yes,no,no,C
no,yes,no,2_to_5hr,15.0,yes,above_avg,yes,yes,yes,yes,B
no,no,yes,greater_than_10,14.0,no,above_avg,yes,yes,yes,yes,A
no,yes,no,5_to_10hr,17.0,yes,below_avg,no,no,yes,yes,B
no,no,yes,5_to_10hr,14.0,no,above_avg,yes,yes,yes,yes,A
no,no,yes,greater_than_10,16.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,2_to_5hr,15.0,yes,below_avg,no,no,yes,no,F
no,no,no,less_than_2hr,14.0,yes,above_avg,yes,yes,yes,yes,B
yes,yes,no,2_to_5hr,15.0,yes,above_avg,yes,yes,no,no,C
yes,yes,no,less_than_2hr,14.0,yes,above_avg,yes,yes,no,no,C
no,no,yes,greater_than_10,18.0,yes,above_avg,yes,yes,yes,yes,A
yes,yes,no,2_to_5hr,14.0,yes,below_avg,no,no,no,no,C
no,no,no,less_than_2hr,15.0,yes,above_avg,no,yes,no,no,C
no,no,yes,greater_than_10,15.0,no,above_avg,yes,yes,yes,yes,A
yes,yes,no,2_to_5hr,17.0,yes,below_avg,no,no,no,no,F
no,yes,no,less_than_2hr,18.0,yes,above_avg,yes,yes,no,no,C
yes,yes,no,2_to_5hr,17.0,yes,below_avg,yes,no,no,no,C
no,no,yes,greater_than_10,18.0,yes,above_avg,yes,yes,yes,yes,A
yes,yes,no,2_to_5hr,15.0,yes,above_avg,yes,yes,yes,yes,B
no,no,yes,greater_than_10,18.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,2_to_5hr,16.0,yes,above_avg,yes,yes,yes,yes,B
yes,yes,no,2_to_5hr,17.0,no,below_avg,no,no,no,no,F
no,yes,no,less_than_2hr,17.0,yes,above_avg,yes,yes,no,no,C
no,yes,no,2_to_5hr,15.0,yes,above_avg,yes,yes,yes,yes,B
no,yes,no,2_to_5hr,15.0,no,below_avg,no,no,no,no,F
yes,yes,no,2_to_5hr,14.0,yes,below_avg,no,no,no,no,F
no,no,yes,5_to_10hr,18.0,yes,above_avg,yes,yes,yes,yes,B
yes,no,yes,5_to_10hr,18.0,yes,below_avg,yes,no,yes,yes,B
yes,yes,no,5_to_10hr,17.0,yes,below_avg,no,no,yes,yes,B
no,no,yes,greater_than_10,17.0,yes,below_avg,no,no,yes,yes,A
yes,yes,no,less_than_2hr,16.0,yes,below_avg,no,yes,no,no,C
no,yes,no,less_than_2hr,14.0,yes,above_avg,yes,yes,no,no,C
no,yes,yes,greater_than_10,18.0,yes,above_avg,yes,yes,yes,yes,A
yes,yes,no,less_than_2hr,14.0,no,below_avg,yes,yes,yes,no,C
no,yes,no,5_to_10hr,15.0,yes,above_avg,yes,yes,yes,yes,A
no,no,yes,5_to_10hr,18.0,yes,above_avg,yes,yes,no,no,A
yes,no,yes,5_to_10hr,16.0,no,below_avg,no,yes,yes,yes,B
yes,no,no,2_to_5hr,18.0,yes,above_avg,no,no,no,no,F
no,no,yes,5_to_10hr,15.0,yes,above_avg,yes,no,yes,yes,B
no,yes,no,less_than_2hr,14.0,yes,above_avg,yes,yes,no,no,C
yes,yes,no,2_to_5hr,14.0,yes,below_avg,no,no,no,no,F
yes,no,yes,5_to_10hr,16.0,no,below_avg,no,no,yes,yes,B
no,yes,no,less_than_2hr,17.0,yes,above_avg,yes,yes,no,no,C
no,yes,no,2_to_5hr,17.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,5_to_10hr,17.0,yes,above_avg,yes,yes,no,no,F
yes,no,yes,greater_than_10,14.0,yes,below_avg,no,no,yes,yes,A
yes,yes,no,less_than_2hr,14.0,yes,below_avg,no,no,yes,no,F
no,yes,no,5_to_10hr,14.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,2_to_5hr,18.0,yes,above_avg,yes,yes,yes,yes,B
no,yes,no,less_than_2hr,18.0,yes,above_avg,yes,yes,no,no,C
no,no,yes,greater_than_10,15.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,less_than_2hr,18.0,no,below_avg,no,no,no,no,F
no,yes,no,2_to_5hr,14.0,yes,above_avg,yes,yes,yes,yes,B
no,yes,no,less_than_2hr,17.0,yes,above_avg,no,yes,no,no,C
yes,yes,no,less_than_2hr,17.0,yes,below_avg,no,no,no,no,F
no,no,yes,greater_than_10,15.0,yes,above_avg,yes,yes,yes,yes,A
no,no,yes,greater_than_10,17.0,yes,above_avg,yes,yes,yes,yes,A
yes,yes,no,less_than_2hr,15.0,yes,below_avg,no,no,no,no,F
yes,yes,no,less_than_2hr,15.0,yes,below_avg,no,no,no,no,F
no,no,yes,5_to_10hr,18.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,less_than_2hr,16.0,yes,above_avg,yes,yes,no,no,C
yes,no,yes,greater_than_10,14.0,yes,below_avg,no,no,yes,yes,A
yes,yes,no,greater_than_10,16.0,yes,below_avg,no,no,yes,yes,A
yes,no,yes,greater_than_10,18.0,yes,below_avg,no,no,yes,yes,A
yes,yes,no,less_than_2hr,17.0,no,below_avg,no,no,no,no,F
no,yes,no,2_to_5hr,17.0,yes,above_avg,yes,yes,yes,no,B
no,yes,no,5_to_10hr,14.0,yes,below_avg,no,no,yes,yes,B
no,yes,no,greater_than_10,15.0,yes,above_avg,yes,yes,no,no,A
no,yes,no,less_than_2hr,14.0,yes,above_avg,no,yes,no,no,C
no,yes,no,2_to_5hr,16.0,yes,above_avg,yes,no,yes,yes,B
no,yes,no,less_than_2hr,14.0,yes,below_avg,no,yes,yes,yes,B
no,no,yes,2_to_5hr,18.0,yes,above_avg,yes,yes,yes,yes,B
no,no,yes,5_to_10hr,15.0,yes,below_avg,no,yes,yes,yes,B
no,yes,no,less_than_2hr,14.0,yes,below_avg,no,no,no,no,F
yes,yes,no,2_to_5hr,15.0,yes,below_avg,no,no,no,no,F
no,yes,no,5_to_10hr,14.0,no,below_avg,no,no,yes,yes,B
no,no,yes,5_to_10hr,18.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,2_to_5hr,18.0,yes,above_avg,no,yes,no,no,C
no,yes,no,2_to_5hr,18.0,yes,above_avg,yes,yes,yes,yes,B
no,yes,no,2_to_5hr,14.0,yes,below_avg,no,no,no,no,F
no,no,yes,greater_than_10,15.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,2_to_5hr,15.0,yes,above_avg,yes,yes,yes,yes,B
no,yes,no,2_to_5hr,15.0,yes,above_avg,yes,yes,yes,yes,B
no,no,no,less_than_2hr,14.0,no,below_avg,no,no,no,no,C
no,no,yes,2_to_5hr,18.0,yes,above_avg,yes,yes,no,no,C
yes,no,no,less_than_2hr,16.0,no,below_avg,no,no,no,no,F
no,yes,no,5_to_10hr,15.0,no,above_avg,no,yes,yes,yes,B
yes,yes,no,5_to_10hr,18.0,yes,below_avg,no,no,yes,yes,B
no,no,no,2_to_5hr,14.0,yes,above_avg,yes,yes,yes,yes,B
no,no,no,less_than_2hr,16.0,yes,above_avg,yes,yes,no,no,C
no,yes,no,less_than_2hr,16.0,no,below_avg,no,no,no,no,F
yes,yes,yes,greater_than_10,18.0,yes,below_avg,no,no,yes,yes,A
no,yes,no,2_to_5hr,17.0,yes,above_avg,yes,yes,yes,yes,B
no,yes,no,less_than_2hr,15.0,yes,below_avg,no,no,no,no,F
no,yes,no,5_to_10hr,15.0,yes,above_avg,yes,yes,no,no,F
yes,no,yes,5_to_10hr,17.0,no,below_avg,no,no,yes,yes,B
no,no,yes,greater_than_10,15.0,yes,above_avg,yes,yes,yes,yes,A
no,no,yes,less_than_2hr,15.0,yes,above_avg,yes,yes,no,no,C
no,yes,no,less_than_2hr,14.0,yes,above_avg,yes,yes,no,no,C
no,yes,yes,greater_than_10,17.0,yes,above_avg,yes,yes,yes,yes,A
no,no,yes,5_to_10hr,18.0,yes,above_avg,yes,no,yes,yes,B
no,no,yes,5_to_10hr,16.0,yes,above_avg,yes,yes,yes,yes,B
yes,no,yes,greater_than_10,16.0,yes,below_avg,yes,no,yes,yes,A
yes,no,yes,greater_than_10,16.0,yes,below_avg,no,no,yes,yes,B
no,yes,yes,2_to_5hr,14.0,yes,above_avg,yes,no,no,no,C
yes,no,yes,greater_than_10,15.0,yes,below_avg,no,no,no,no,A
no,no,no,less_than_2hr,16.0,yes,above_avg,yes,yes,no,no,C
yes,no,yes,greater_than_10,18.0,yes,below_avg,no,no,yes,yes,A
yes,no,no,less_than_2hr,16.0,yes,below_avg,no,no,no,no,F
yes,yes,yes,2_to_5hr,16.0,yes,below_avg,no,no,no,no,F
no,no,yes,5_to_10hr,16.0,no,below_avg,no,no,yes,yes,B
no,yes,no,2_to_5hr,14.0,yes,above_avg,yes,yes,yes,yes,B
no,no,yes,5_to_10hr,15.0,yes,above_avg,no,yes,yes,yes,B
no,yes,no,2_to_5hr,16.0,no,above_avg,yes,yes,yes,no,B
no,yes,no,less_than_2hr,16.0,yes,above_avg,yes,yes,no,no,C
no,yes,no,2_to_5hr,18.0,yes,above_avg,yes,yes,yes,yes,B
yes,no,yes,greater_than_10,15.0,yes,below_avg,no,no,yes,yes,A
no,no,yes,5_to_10hr,16.0,no,below_avg,no,no,yes,yes,B
no,yes,no,2_to_5hr,17.0,yes,above_avg,yes,yes,yes,yes,B
no,no,yes,greater_than_10,18.0,yes,above_avg,no,yes,yes,yes,A
yes,yes,no,2_to_5hr,18.0,yes,below_avg,no,no,no,no,F
no,no,yes,greater_than_10,17.0,yes,below_avg,no,no,yes,yes,A
yes,yes,no,less_than_2hr,16.0,yes,below_avg,no,no,no,no,F
no,yes,no,5_to_10hr,16.0,yes,above_avg,no,yes,yes,yes,B
yes,yes,no,less_than_2hr,14.0,yes,above_avg,yes,yes,no,no,C
yes,yes,no,less_than_2hr,14.0,yes,below_avg,yes,no,no,no,C
no,yes,no,5_to_10hr,15.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,yes,5_to_10hr,16.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,5_to_10hr,16.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,2_to_5hr,15.0,yes,above_avg,yes,yes,yes,yes,B
no,yes,no,2_to_5hr,17.0,yes,above_avg,no,yes,no,no,C
no,yes,no,2_to_5hr,15.0,yes,above_avg,yes,yes,yes,yes,B
no,yes,no,less_than_2hr,14.0,yes,above_avg,yes,yes,no,no,C
yes,no,no,2_to_5hr,15.0,yes,below_avg,no,no,no,no,C
no,yes,no,less_than_2hr,15.0,yes,above_avg,yes,yes,no,no,C
yes,yes,no,less_than_2hr,18.0,yes,below_avg,no,no,no,no,F
no,no,yes,greater_than_10,17.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,less_than_2hr,16.0,no,above_avg,yes,yes,no,no,C
yes,no,yes,greater_than_10,18.0,yes,below_avg,no,no,yes,yes,A
no,no,yes,5_to_10hr,14.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,less_than_2hr,15.0,yes,below_avg,yes,no,no,no,C
no,no,yes,5_to_10hr,16.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,less_than_2hr,14.0,yes,above_avg,yes,yes,no,no,C
no,no,yes,greater_than_10,16.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,yes,greater_than_10,15.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,2_to_5hr,16.0,no,above_avg,yes,yes,yes,yes,B
yes,yes,no,5_to_10hr,17.0,yes,above_avg,yes,yes,yes,yes,A
yes,yes,no,greater_than_10,17.0,yes,below_avg,yes,no,yes,yes,A
no,no,yes,greater_than_10,15.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,less_than_2hr,16.0,yes,above_avg,yes,yes,no,no,C
no,no,no,2_to_5hr,15.0,yes,above_avg,yes,yes,yes,yes,B
no,yes,no,less_than_2hr,14.0,yes,above_avg,yes,yes,no,no,C
no,yes,no,5_to_10hr,16.0,yes,above_avg,yes,yes,yes,no,A
yes,yes,no,less_than_2hr,18.0,no,below_avg,no,no,no,no,F
yes,no,yes,5_to_10hr,16.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,less_than_2hr,15.0,no,below_avg,no,no,no,no,F
no,no,no,2_to_5hr,17.0,yes,above_avg,yes,yes,yes,yes,B
yes,no,yes,greater_than_10,16.0,no,below_avg,no,no,yes,yes,A
no,yes,no,2_to_5hr,17.0,no,below_avg,no,no,no,no,F
yes,yes,yes,greater_than_10,18.0,no,below_avg,no,no,yes,yes,A
no,no,yes,greater_than_10,17.0,yes,above_avg,no,yes,yes,yes,A
yes,no,yes,greater_than_10,18.0,yes,below_avg,no,no,no,no,A
no,no,yes,5_to_10hr,14.0,yes,below_avg,no,no,yes,yes,B
no,yes,no,less_than_2hr,15.0,yes,above_avg,yes,yes,yes,yes,A
no,no,no,less_than_2hr,17.0,yes,above_avg,no,yes,no,no,C
yes,yes,no,less_than_2hr,15.0,yes,below_avg,yes,no,yes,yes,B
no,yes,no,2_to_5hr,15.0,yes,above_avg,yes,yes,yes,yes,B
no,yes,no,5_to_10hr,17.0,yes,above_avg,yes,yes,yes,no,A
no,yes,no,greater_than_10,15.0,yes,above_avg,yes,yes,yes,yes,A
yes,no,yes,5_to_10hr,17.0,yes,below_avg,no,no,yes,yes,B
no,yes,no,less_than_2hr,18.0,yes,above_avg,yes,yes,no,no,C
no,yes,no,less_than_2hr,17.0,no,below_avg,no,no,no,no,F
no,no,yes,2_to_5hr,16.0,yes,above_avg,yes,yes,yes,yes,B
no,no,no,5_to_10hr,15.0,no,below_avg,yes,no,no,no,C
no,no,yes,greater_than_10,16.0,yes,above_avg,yes,yes,yes,yes,A
no,no,yes,greater_than_10,16.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,2_to_5hr,17.0,yes,above_avg,yes,yes,yes,yes,B
no,yes,no,5_to_10hr,18.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,yes,5_to_10hr,15.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,less_than_2hr,18.0,yes,above_avg,yes,yes,no,no,C
yes,no,yes,5_to_10hr,15.0,yes,below_avg,no,no,yes,yes,B
no,no,yes,greater_than_10,15.0,yes,above_avg,no,yes,yes,yes,A
no,no,yes,greater_than_10,18.0,no,above_avg,no,yes,yes,yes,A
no,yes,no,2_to_5hr,17.0,yes,above_avg,yes,yes,yes,yes,B
yes,yes,no,less_than_2hr,18.0,yes,below_avg,no,no,no,no,F
yes,no,yes,greater_than_10,18.0,no,below_avg,no,no,yes,yes,B
no,yes,no,less_than_2hr,17.0,no,below_avg,no,no,no,no,F
yes,yes,no,2_to_5hr,15.0,yes,below_avg,no,no,no,no,F
no,yes,no,2_to_5hr,17.0,no,above_avg,yes,yes,no,no,C
yes,yes,no,less_than_2hr,14.0,yes,below_avg,no,no,no,no,F
yes,no,yes,greater_than_10,16.0,no,below_avg,no,no,yes,yes,A
no,yes,no,less_than_2hr,14.0,yes,below_avg,yes,no,no,no,C
yes,yes,no,2_to_5hr,17.0,yes,below_avg,no,no,no,no,F
no,yes,no,less_than_2hr,15.0,yes,below_avg,no,no,no,no,F
no,yes,no,less_than_2hr,16.0,yes,above_avg,yes,yes,yes,yes,B
no,yes,no,less_than_2hr,15.0,no,below_avg,no,no,no,no,F
no,no,yes,greater_than_10,15.0,yes,above_avg,yes,yes,no,no,F
yes,yes,no,less_than_2hr,16.0,yes,below_avg,no,no,no,no,F
no,no,no,2_to_5hr,15.0,yes,above_avg,yes,yes,yes,yes,B
no,no,yes,5_to_10hr,15.0,yes,below_avg,no,no,yes,yes,B
no,no,yes,5_to_10hr,17.0,no,below_avg,no,no,yes,yes,B
yes,yes,no,less_than_2hr,16.0,yes,above_avg,yes,yes,no,no,C
yes,yes,no,less_than_2hr,16.0,yes,below_avg,no,no,no,no,F
no,no,yes,greater_than_10,14.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,2_to_5hr,14.0,yes,above_avg,yes,no,no,no,C
yes,no,yes,greater_than_10,15.0,yes,above_avg,yes,yes,yes,yes,A
no,no,no,less_than_2hr,15.0,yes,above_avg,yes,yes,no,no,C
no,yes,no,2_to_5hr,14.0,yes,above_avg,yes,yes,yes,yes,B
yes,yes,no,5_to_10hr,18.0,yes,below_avg,no,no,yes,yes,B
no,yes,no,2_to_5hr,18.0,yes,below_avg,no,yes,no,no,F
no,yes,no,2_to_5hr,17.0,yes,above_avg,yes,yes,yes,yes,B
no,yes,no,less_than_2hr,17.0,no,below_avg,no,no,no,no,F
yes,yes,no,less_than_2hr,15.0,yes,below_avg,no,no,no,no,F
yes,no,yes,greater_than_10,17.0,yes,below_avg,no,no,yes,yes,B
no,yes,no,less_than_2hr,18.0,yes,above_avg,yes,yes,no,no,C
no,yes,no,2_to_5hr,16.0,yes,above_avg,no,yes,no,no,C
yes,no,yes,5_to_10hr,16.0,yes,below_avg,yes,no,yes,no,B
yes,no,yes,greater_than_10,17.0,yes,below_avg,no,no,yes,yes,A
no,no,yes,greater_than_10,15.0,yes,below_avg,no,no,yes,yes,A
no,no,yes,2_to_5hr,17.0,yes,above_avg,yes,yes,yes,yes,B
no,no,yes,5_to_10hr,14.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,less_than_2hr,17.0,no,above_avg,yes,no,no,no,C
no,yes,no,less_than_2hr,14.0,yes,above_avg,yes,yes,no,no,C
no,yes,no,2_to_5hr,14.0,yes,below_avg,no,no,no,no,F
yes,yes,no,2_to_5hr,14.0,no,above_avg,yes,yes,yes,yes,B
yes,no,yes,2_to_5hr,16.0,yes,below_avg,no,no,no,no,F
no,yes,yes,greater_than_10,17.0,no,above_avg,yes,yes,yes,yes,A
no,no,yes,5_to_10hr,15.0,yes,below_avg,no,no,yes,yes,B
no,no,yes,2_to_5hr,15.0,yes,above_avg,yes,yes,yes,yes,B
no,no,no,less_than_2hr,18.0,yes,above_avg,yes,yes,no,no,C
yes,yes,no,5_to_10hr,14.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,2_to_5hr,18.0,yes,above_avg,yes,yes,yes,yes,B
no,yes,no,2_to_5hr,17.0,yes,above_avg,yes,yes,yes,yes,B
no,no,yes,greater_than_10,15.0,yes,above_avg,yes,yes,yes,yes,A
no,no,yes,5_to_10hr,17.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,less_than_2hr,18.0,no,above_avg,no,yes,no,no,C
no,yes,no,less_than_2hr,14.0,yes,above_avg,yes,yes,no,no,C
no,yes,no,5_to_10hr,17.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,2_to_5hr,14.0,yes,above_avg,yes,yes,yes,yes,B
yes,yes,no,2_to_5hr,15.0,yes,below_avg,no,no,no,no,F
yes,no,no,less_than_2hr,18.0,yes,above_avg,yes,yes,no,no,C
no,yes,no,2_to_5hr,14.0,yes,above_avg,yes,yes,yes,yes,B
yes,yes,no,less_than_2hr,17.0,yes,above_avg,yes,yes,no,no,C
yes,no,no,less_than_2hr,15.0,yes,below_avg,no,no,no,no,F
no,no,yes,greater_than_10,16.0,yes,above_avg,no,yes,yes,yes,A
yes,yes,no,less_than_2hr,17.0,yes,below_avg,yes,no,no,no,C
no,no,yes,5_to_10hr,14.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,less_than_2hr,17.0,yes,above_avg,yes,yes,no,no,C
no,no,no,5_to_10hr,16.0,yes,above_avg,yes,yes,yes,no,A
yes,yes,yes,greater_than_10,17.0,yes,below_avg,no,no,yes,yes,A
no,yes,no,2_to_5hr,18.0,yes,above_avg,yes,yes,yes,yes,B
no,yes,no,2_to_5hr,16.0,yes,above_avg,yes,yes,yes,yes,B
no,no,yes,5_to_10hr,18.0,yes,above_avg,no,yes,no,no,F
no,yes,no,2_to_5hr,16.0,yes,above_avg,yes,yes,yes,yes,B
no,no,no,2_to_5hr,14.0,yes,above_avg,no,yes,no,no,C
no,yes,no,2_to_5hr,18.0,yes,above_avg,yes,yes,yes,yes,B
yes,no,no,greater_than_10,18.0,yes,below_avg,no,no,yes,yes,A
no,yes,yes,greater_than_10,14.0,yes,below_avg,no,no,yes,yes,A
yes,no,yes,greater_than_10,14.0,yes,below_avg,no,no,yes,yes,A
yes,yes,no,2_to_5hr,15.0,yes,below_avg,yes,no,yes,no,C
no,yes,no,5_to_10hr,18.0,yes,above_avg,no,yes,yes,yes,B
no,yes,no,less_than_2hr,16.0,yes,above_avg,yes,yes,no,no,C
no,no,no,less_than_2hr,17.0,yes,above_avg,yes,yes,no,no,C
no,yes,no,less_than_2hr,16.0,yes,above_avg,yes,yes,no,no,C
no,yes,no,less_than_2hr,15.0,yes,above_avg,yes,yes,no,no,C
no,no,no,2_to_5hr,16.0,yes,above_avg,yes,yes,yes,yes,B
no,no,yes,5_to_10hr,14.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,2_to_5hr,14.0,yes,above_avg,yes,yes,yes,yes,B
no,yes,no,less_than_2hr,15.0,yes,above_avg,yes,yes,no,no,C
no,no,yes,5_to_10hr,15.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,2_to_5hr,14.0,yes,above_avg,yes,yes,yes,yes,B
no,yes,no,2_to_5hr,14.0,yes,above_avg,yes,yes,no,no,C
no,yes,no,2_to_5hr,18.0,yes,above_avg,yes,yes,yes,yes,B
no,yes,no,less_than_2hr,16.0,yes,below_avg,no,no,no,no,F
no,no,yes,5_to_10hr,17.0,yes,above_avg,yes,yes,yes,yes,A
yes,yes,no,2_to_5hr,16.0,yes,below_avg,no,no,no,no,F
no,yes,no,5_to_10hr,14.0,no,above_avg,yes,yes,yes,yes,A
no,no,yes,5_to_10hr,17.0,yes,above_avg,yes,yes,yes,yes,A
no,no,yes,5_to_10hr,16.0,no,below_avg,yes,no,yes,yes,B
yes,no,yes,greater_than_10,15.0,yes,above_avg,yes,yes,yes,yes,A
yes,no,yes,5_to_10hr,18.0,yes,above_avg,no,yes,yes,yes,B
no,yes,yes,greater_than_10,17.0,no,below_avg,no,no,yes,yes,A
no,yes,no,5_to_10hr,17.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,yes,greater_than_10,14.0,yes,above_avg,yes,yes,yes,yes,B
no,no,yes,5_to_10hr,16.0,yes,above_avg,yes,yes,yes,yes,A
yes,yes,yes,greater_than_10,16.0,yes,below_avg,no,no,yes,yes,A
no,yes,no,less_than_2hr,17.0,yes,above_avg,yes,yes,no,no,C
yes,yes,yes,5_to_10hr,17.0,yes,below_avg,no,no,yes,yes,B
no,yes,no,less_than_2hr,14.0,yes,above_avg,yes,yes,no,no,C
no,yes,no,less_than_2hr,18.0,yes,below_avg,no,no,no,no,F
yes,no,yes,greater_than_10,14.0,yes,above_avg,yes,yes,yes,yes,A
yes,no,yes,greater_than_10,16.0,yes,below_avg,yes,no,yes,no,A
no,no,yes,2_to_5hr,16.0,no,above_avg,yes,yes,no,no,C
no,no,no,5_to_10hr,16.0,yes,above_avg,yes,yes,yes,yes,A
no,yes,no,2_to_5hr,15.0,yes,below_avg,no,no,no,no,F
no,yes,no,5_to_10hr,17.0,no,below_avg,no,no,no,no,C
